BIN,Description
000069,"atre CARD"
001530,"京王パスポートカード"
012901,"VIEW"
012969,"GRANDUO ポイントカード"
014001,"石丸(アイアイ)カード → エディオンカード"
100100,"ソニーファイナンスインターナショナル Edy"
100190,"AMC 宮交バスカ Edy"
100196,"ANA MILEAGE CLUB Edy"
100500,"三井住友カード Edy"
120611,"楽天銀行 スーパーローンカード"
127698,"三井住友カード"
200000,"イズミヤカード（プロパー）"
200100,"マックチップ(三井住友銀行) Edy"
210191,"D-ONEカード(第一専門店会)"
300100,"GAITAME.com(ビットワレット) Edy"
300101,"Rakuten Point Club Edy"
300140,"おサイフケータイ(F) Edy"
300140,"おサイフケータイ(SH) Edy"
300150,"おサイフケータイ(SO) Edy"
300300,"BIG ECHO MEMBERS CARD Edy"
307000,"OMC(HOUSE)"
310000,"JCB昭和シェルビジネスカード"
334021,"ペルソナハウス"
352824,"SAISON 郵貯 JCB"
352830,"SAISON Loft JCBA"
352855,"SAISON JCB"
352859,"出光クレジット まいどカード JCB"
352865,"SAISON JAF JCB"
352865,"SAISON MUJI JCB"
352867,"SAISON Mei JCB"
352868,"SAISON PEC JCB"
354002,"さくらカード JCB 一般"
354006,"JCB　福岡カード"
354008,"JCB"
354009,"UFJ JCB SNOOPY-L"
354012,"UFJ JCB"
354014,"JCB北海道・JCBカード"
354016,"セーブオン JCB"
354017,"りそなJCB"
354019,"UFJ JCB"
354019,"さくらカードJCB"
354020,"JAF JCB"
354020,"JCB NET PLUS"
354020,"PIA JCB"
354021,"スルガ銀行JCB"
354022,"トライカードJCB"
354023,"ANA-SFC-JCB"
354023,"JCB-LINDA"
354023,"JCBコーポレート一般"
354023,"JR JCB ビジネスプラスカード"
354023,"フィナンシャルワンメンバーズUFJ-JCB(グランデ、一般)"
354023,"早稲田カードJCB"
354024,"ANA-JCB(WIDE、一般)"
354024,"FinancialOne-JCB"
354024,"JCB"
354024,"JAF-JCB"
354024,"慶應JCB"
354025,"ANA JCB一般"
354025,"JCB マクドナルド"
354025,"JCB-Arubara"
354025,"U-29/JCBカード"
354025,"さくらグランデ"
354026,"ANA-JCB 一般"
354026,"JCB(グランデ、コーポレート一般)"
354026,"MJC-JCB"
354026,"ORIX Rent-A-Car Card JCB"
354026,"U-29カード/JCB"
354026,"UFJ-JCB"
354027,"JCB E.GO"
354027,"ANA-JCB(WIDE、一般)"
354027,"JCB Arubara"
354027,"JCB LivingPlus"
354027,"JCB U-29"
354027,"JCB-NetMile-Arubara"
354027,"フィナンシャルワンメンバーズUFJ-JCB 一般"
354027,"早稲田カード"
354027,"明治大学学生カード JCB"
354028,"さくらJCB-Arubara"
354028,"さくらカード一般"
354028,"フィナンシャルワンメンバーズUFJ-JCB グランデ"
354028,"株式会社JCB-UnitedAirline"
354031,"さくらグランデ"
354033,"さくらTYPE SELECT"
354034,"JCB EITT"
354035,"さくらTYPE SELECT"
354036,"ANA JCB 一般"
35403x,"リクルートカード JCB"
354060,"大学生協-JCB"
354062,"JCB-ANA St"
354068,"JCB"
354068,"Microsoft Plus三和JCB"
354069,"JAL Card JCB (一般,CLUB-A,JGC)"
354070,"JCBぴあカード"
354070,"JCBセリーグ阪神タイガースカード"
354072,"JCB DRIVER'S PLUS/ETC"
354074,"新銀行東京カード JCB"
354074,"福岡銀行arecore-JCB"
354077,"JCBネクサス"
354077,"フィナンシャルワンメンバーズUFJ-JCB ネクサス"
354080,"JCBシナジー"
354082,"JCB北海道・グランデ"
354087,"DoCoMo UFJ-JCB"
354088,"Persona JCB"
354090,"アイワイカード JCB"
354093,"アイワイカード JCB"
354100,"西銀JCB-G"
354101,"ANA JCB GOLD (一般, Wide, SuperFlyers)"
354101,"JCB"
354101,"JCB GOLD プロパー"
354101,"JCB GOLD UNITED マイレージプラス"
354101,"慶應JCB-Gold"
354101,"早稲田GOLDカード"
354102,"JCB"
354102,"JCBゴールド"
354102,"ANA JCB ワイドゴールド"
354102,"フィナンシャルワンメンバーズUFJ-JCB ゴールド"
354169,"JAL Card CLUB-A JCB-G"
354180,"JCB THE CLASS"
354181,"JCB BUSINESS"
354181,"KKR(国家公務員共済組合連合会) JCB BUSINESS"
354181,"JR-JCB-BUSINESS-Gold"
354258,"JAL JCB"
354259,"YAHOO!JAPAN JCBカード"
354277,"Ario JCBカード"
354287,"HANA PLUS JCBカード"
354290,"小田急ポイントクレジットカード"
355100,"JCB法人ゴールド"
358010,"日立カード 一般"
358014,"NOVA CARD JCB (日立カードサービス)"
358180,"JR東海エクスプレス・カード（JCB）"
358201,"日専連おびひろJCB"
358204,"日専連JCB"
358273,"dsp JCB"
358277,"APLUS JCB (TSUTAYA, なんばCITY含)"
358290,"GE-JCB"
358298,"GE CARD JCB"
358299,"GE CARD JCB GOLD"
358305,"@nifty Orico-JCB"
358305,"ミニミニ Orico-JCB"
358305,"モンテローザOrico-JCB"
358403,"楽天カード JCB"
358403,"KC JCB"
358410,"AEON JCB"
358411,"AEON JCB"
